,Model22,Model51,Model57,Model66,Model156,Model178,Model217,Model222,Model316,Model378,Model404,Model424,Model488,Model500,Model617,Model631,tr
10311,0.996260464,0.888979197,0.671166897,0.008686503,0.984260917,0.954857349,0.998312235,0.920464516,0.953581393,0.961104989,0.952559352,0.557838321,0.977058589,0.847235382,0.888471067,0.828620791,1
10327,0.997962117,0.858156443,0.545725465,0.000176982,0.998357713,0.984036624,0.501086414,0.711899042,0.962438583,0.994124115,0.957640827,0.999424577,0.608453691,0.84743017,0.313802272,0.354464501,1
10333,0.950499415,0.226360917,0.46859479,0.025165176,0.276478618,0.379787803,0.861539781,0.715279162,0.857997775,0.988611281,0.995297253,0.429905742,0.978371739,0.46240446,0.884910285,0.397924393,0
10401,0.983286619,0.266738772,0.549380958,0.002246668,0.987155914,0.96486479,0.858042717,0.53605181,0.964054346,0.993335009,0.394328445,0.496756792,0.954641521,0.450152397,0.865838051,0.406769037,1
10405,0.153048977,0.488527805,0.623108685,0.000207363,0.641708672,0.637902677,0.797663569,0.458215654,0.526582599,0.986004889,0.923814416,0.827229321,0.380928636,0.719391286,0.619478106,0.536617577,1
10412,0.999997497,0.171989068,0.779444098,0.24324894,0.803655386,0.999994397,0.999997735,0.987057984,1,0.275050879,0.999448955,0.99997139,0.999840021,0.987362981,0.999994755,0.898241282,1
10414,0.292586476,0.009821899,0.479527026,0.218093291,0.172705159,0.169012785,0.136120468,0.207113028,0.230473295,0.798182368,0.213557556,0.184541136,0.179474384,0.363785237,0.19979161,0.328179151,0
10416,0.999843836,0.99342525,0.950508475,0.00258514,0.999937057,0.822199345,0.998979509,0.999508739,0.999999404,0.961490095,0.999754369,0.999819815,0.999940395,0.988378227,0.99753499,0.974793375,1
10427,0.99963069,0.940914333,0.545922399,0.015201721,0.60803479,0.993544698,0.999136388,0.58536154,0.996949136,0.999357522,0.954613745,0.437491298,0.913037837,0.912957251,0.879145741,0.9085446,1
10429,0.994246066,0.955666006,0.474072307,0.014380018,0.808461189,0.999049366,0.99602282,0.887989521,0.968524635,0.91478163,0.964463651,0.503586411,0.993629634,0.813622057,0.993642569,0.783524394,1
10431,0.995987117,0.981147051,0.607677698,0.000696457,0.931066632,0.923871696,0.980205417,0.556386113,0.939421475,0.93750906,0.882429361,0.890250683,0.870471537,0.78299129,0.809568286,0.785580337,1
10433,0.999969244,0.994276226,0.928109884,4.81E-06,0.999418139,0.995458364,0.999974251,0.997621238,0.999915242,0.999997258,0.997318208,0.897334933,0.99997735,0.958179235,0.996137321,0.978136241,0
10435,0.967686474,0.800470114,0.710115552,0.708589435,0.720072031,0.993995368,0.994470239,0.988702536,0.931679547,0.999996781,0.286519855,0.998165905,0.994607925,0.640878141,0.348241836,0.712349415,1
10438,0.863124907,0.943912745,0.728978753,0.423100382,0.967694879,0.970324516,0.972998559,0.836124063,0.9909603,0.965124249,0.994708061,0.973825753,0.986285985,0.832972169,0.993605733,0.767370701,1
10439,0.964067101,0.874935269,0.483602405,0.001872869,0.491361141,0.985834658,0.977515042,0.53768307,0.927235842,0.995420635,0.938413918,0.81131345,0.669497907,0.54559803,0.980080187,0.553904057,1
10441,0.999277294,0.222950578,0.65914464,0.073231235,0.957992733,0.903933525,0.985538125,0.895080626,0.837527215,0.999916553,0.995889962,0.184539989,0.998863339,0.850000679,0.990151584,0.539570272,1
10442,0.153048486,0.771502018,0.481458604,0.025618225,0.227336854,0.711082399,0.136111796,0.207112506,0.20867838,0.852399051,0.552881956,0.697183669,0.179478392,0.506817937,0.199792489,0.412188888,1
10445,0.987705112,0.682767987,0.610307813,0.006913912,0.997736931,0.995239496,0.993700981,0.207111537,0.959721148,0.999665856,0.999397159,0.563197076,0.944066346,0.836753249,0.976868391,0.60812664,1
10456,0.999971747,0.995524883,0.926364958,7.39E-05,0.998451352,0.993953526,0.999693274,0.999442875,0.999931097,0.999575794,0.984066129,0.947673738,0.999849677,0.95108664,0.991156101,0.978736877,1
10489,0.972035944,0.000608973,0.506273389,0.000376956,0.50083226,0.340022117,0.209306017,0.965403497,0.999897957,0.999999881,0.94393611,0.890820086,0.99922204,0.422989756,0.961823583,0.87010479,1
10490,0.999992609,0.95618403,0.822490036,9.25E-05,0.97413516,0.99126488,0.998649895,0.98278147,0.996637583,0.999732196,0.939177454,0.437900662,0.997628272,0.894714534,0.949986517,0.939209402,1
10494,0.991739869,0.982869089,0.797347248,9.46E-05,0.869316339,0.944839716,0.99242121,0.996619105,0.999358952,1,0.999772489,0.999785006,0.978942454,0.634087741,0.900252998,0.645697713,1
10497,0.943785489,0.283747733,0.476834625,0.062222771,0.218899593,0.169012517,0.864810228,0.638210952,0.983184993,0.989231646,0.947192729,0.184541345,0.925902367,0.549471319,0.19979322,0.722341835,1
10508,0.653522611,0.984692812,0.84250623,0.338920981,0.995768785,0.524078429,0.999172628,0.991336346,0.997591257,0.998282313,0.999523282,0.665008843,0.86540544,0.821571469,0.866326571,0.705528021,0
10510,0.998339295,0.946281552,0.863047361,4.35E-05,0.989184737,0.998966336,0.99997592,0.963908672,0.998452902,0.987368643,0.999870062,0.993860126,0.970543444,0.941491127,0.998177528,0.864729881,1
10514,0.995261014,0.978425562,0.829367936,0.438680381,0.99976629,0.998197854,0.99984169,0.970487535,0.999925017,0.975105703,0.99992311,0.994894266,0.995720208,0.955728412,0.998746395,0.956675053,0
10515,0.999997854,0.999429405,0.971454442,0.10779047,0.999996781,0.999448001,0.999963999,0.999928951,0.999999642,0.999657393,0.99993515,0.999643326,0.999999166,0.993087828,0.999978185,0.993807495,1
10516,0.153048486,0.918372869,0.474656343,0.040961605,0.172704846,0.57528168,0.988117099,0.207112238,0.981242895,0.253558338,0.96094954,0.634180009,0.970356286,0.538059235,0.87084043,0.804597259,1
10517,0.951932073,0.983762622,0.843925536,0.617009819,0.955135226,0.999477088,0.998967886,0.792170405,0.999050677,0.660402238,0.996215999,0.999619365,0.997201681,0.931326032,0.998375416,0.92326504,1
10524,0.711649954,0.975884676,0.918779075,0.009333462,0.964854836,0.997859776,0.999731362,0.799170077,0.993872881,0.518308342,0.99365741,0.994995356,0.992431641,0.934573889,0.995595753,0.912764907,0
10533,0.994922578,0.977086127,0.482318223,0.001345157,0.22415264,0.999990344,0.999892831,0.987010479,0.999996424,0.796922803,0.999826133,0.883375406,0.999629259,0.923880458,0.999902606,0.926146686,0
10542,0.153048486,0.230652422,0.477461427,0.628564239,0.930647612,0.270291597,0.619262695,0.207111493,0.213727742,0.781148434,0.820360661,0.64309293,0.206199348,0.422230273,0.483237535,0.353405595,1
10543,0.999858856,0.99752301,0.971961975,0.000641403,0.999902725,0.999987245,0.999996185,0.999722183,0.999998927,0.996517658,0.999685407,0.99971205,0.999914169,0.992418408,0.999562919,0.992338181,0
10545,0.153058991,0.788760543,0.673316717,0.000204585,0.182160795,0.255752057,0.855732322,0.36919111,0.615881264,1,0.805085778,0.664927363,0.761290312,0.411310345,0.381922066,0.688879251,1
10546,0.947760344,0.879682839,0.843665242,3.48E-09,0.970504522,0.929447353,0.992375791,0.993381262,0.999604642,0.999999881,0.961527467,0.934252024,0.950279236,0.874257922,0.972713351,0.863296926,1
10548,0.99826473,0.98807317,0.650240064,0.000991736,0.98070842,0.899231613,0.986496866,0.999219656,0.999699116,1,0.998223364,0.975153506,0.997310162,0.903884053,0.995378971,0.883699179,1
10551,0.999970794,0.977236509,0.863138556,0.000368124,0.999934912,0.99961096,0.998416185,0.996338606,0.99997592,0.966814339,0.999349654,0.999729335,0.999991775,0.963919103,0.999566257,0.928865671,1
10552,0.999975562,0.994114995,0.919705808,0.000113354,0.997878909,0.993608475,0.999362051,0.999087453,0.999895811,0.999572933,0.978474319,0.914513767,0.999804795,0.947327614,0.989951551,0.976513445,1
10554,0.968115866,0.879427552,0.671239197,0.147019759,0.822523117,0.985527515,0.982714474,0.918672383,0.976014316,0.999905348,0.955987871,0.561477482,0.750228047,0.892831087,0.909509599,0.703024507,1
10558,0.999998093,0.998991549,0.943318725,0.00269736,0.99999547,0.999946594,0.999999642,0.999941349,0.999992251,0.961681366,0.999999881,0.999850154,0.999978304,0.893374205,0.999376833,0.983347714,1
10559,0.995787323,0.737313926,0.623819411,6.06E-05,0.94352603,0.961814463,0.977792144,0.9980281,0.999280274,0.98004204,0.999738038,0.60356611,0.999912858,0.754139662,0.880667567,0.854500532,1
10560,0.527426481,0.985500634,0.828077734,0.00014704,0.976211071,0.801774263,0.999693632,0.827497363,0.996454358,0.999999881,0.999325991,0.843643904,0.610677063,0.927529573,0.639470577,0.892837286,1
10562,0.999993801,0.998926103,0.959663093,0.00023169,0.999676585,0.997416019,0.999984503,0.999917746,0.999987841,0.99874413,0.998518288,0.98581636,0.99999094,0.982435286,0.998297155,0.99026829,1
10576,0.881655633,0.916726828,0.774376452,0.002642952,0.962010324,0.95284164,0.990243375,0.930582523,0.774731755,0.999677777,0.987968683,0.973020673,0.996632159,0.932719648,0.374492019,0.747292459,1
10594,0.989006758,0.996900082,0.971798897,0.065096311,0.999994516,0.981148899,0.999414563,0.992526054,0.999993324,0.993917584,0.999969244,0.999994159,0.999719918,0.995691359,0.999849439,0.980734289,1
10595,0.952260137,0.961106658,0.487833858,0.771441936,0.973000288,0.972193658,0.998645365,0.927125573,0.999581993,0.264733166,0.997257173,0.88618052,0.992921054,0.721502423,0.995327353,0.564211309,1
10609,0.999861002,0.995986879,0.698265433,0.001742495,0.99637562,0.999070883,0.991366804,0.996572256,0.995653629,0.999944568,0.999997854,0.999988556,0.99961853,0.932969093,0.999742687,0.873387218,1
10618,0.929366827,0.998966932,0.954170287,0.000302558,0.999868393,0.93345964,0.999952078,0.999817431,0.99874413,0.999999523,0.999999762,0.999999881,0.999502182,0.970123231,0.999981284,0.875292599,1
10619,0.999974847,0.996926367,0.975337982,0.341860086,0.999987006,0.998198211,0.999939203,0.999726593,0.999999404,0.704851985,0.999925137,0.999981046,0.999996305,0.995119214,0.999967456,0.987413764,1
10620,0.969240487,0.998725474,0.741650939,0.059720807,0.997800052,0.983891428,0.999486685,0.857030988,0.979197204,0.844966531,0.986934185,0.997446418,0.993157446,0.884291172,0.945906937,0.767588377,1
10622,0.971093416,0.998200655,0.591559649,0.00768031,0.98421973,0.997852445,0.998705149,0.985482931,0.999994636,0.958027542,0.998875201,0.998627663,0.999999523,0.943581641,0.999970317,0.769888043,1
10623,0.153048486,0.765307844,0.485190272,0.00053187,0.660779834,0.168874666,0.136108816,0.213334531,0.572719395,0.998011827,0.488435775,0.233399764,0.486583352,0.357459128,0.199789524,0.513125837,1
10627,0.993234217,0.967822254,0.76118046,0.252315521,0.999468982,0.987780094,0.998307824,0.848222613,0.996196628,0.936797321,0.999502897,0.998052716,0.900877297,0.873694658,0.981922626,0.892184556,1
10633,0.988758802,0.91046375,0.519843578,0.000357311,0.91704452,0.867707908,0.988250017,0.890801072,0.970591426,0.927011549,0.922713995,0.606276453,0.96064657,0.683188379,0.973816276,0.695992529,1
10635,0.994375706,0.188851058,0.610845387,0.000235509,0.989018321,0.9931283,0.372726679,0.838245213,0.871951818,0.999816954,0.798938513,0.301686257,0.987032056,0.609408319,0.235921979,0.456716001,1
10637,0.990004241,0.912273049,0.838255644,0.011858981,0.999520302,0.995011926,0.996438742,0.857245088,0.995750904,0.98589766,0.999783218,0.991350412,0.97052896,0.896185577,0.981561244,0.910045683,1
10649,0.922605515,0.988950431,0.613091171,0.077322491,0.701322734,0.996234238,0.999955058,0.992183387,0.995819092,0.968466163,0.99998486,0.998015523,0.667694449,0.708491623,0.991879642,0.818070769,0
10825,0.994588375,0.599562645,0.797503114,0.000116435,0.629635155,0.741555929,0.951016366,0.920158148,0.986410081,0.975774109,0.993183911,0.99275887,0.986559749,0.818763018,0.808529913,0.79315567,1
10827,0.999621272,0.966358006,0.740078986,1.44E-05,0.998507321,0.825155139,0.845477521,0.999857187,0.999330521,1,0.991484582,0.995740056,0.997161508,0.840637803,0.928666472,0.775838733,1
10834,0.967682123,0.096573897,0.634943128,0.023587761,0.231789306,0.183709696,0.70684886,0.207112804,0.207015768,0.906116068,0.191125169,0.184541106,0.183932468,0.361954123,0.199791566,0.36893785,1
10837,0.999590933,0.101507872,0.594489098,4.37E-06,0.194142476,0.54041785,0.136109293,0.999554574,0.999841809,1,0.94047606,0.184539363,0.986812055,0.360951751,0.988292634,0.798177242,0
10843,0.986712575,0.306839496,0.552720666,7.75E-05,0.172705308,0.526728153,0.459610999,0.979018211,0.642957807,1,0.992544293,0.394584686,0.772876024,0.76429832,0.803198159,0.505702376,1
10846,0.999998927,0.975560308,0.897886992,0.004967036,0.35019654,0.323857069,0.342311025,0.999313951,0.238029376,0.999685884,0.865800381,0.998639762,0.999980569,0.892866433,0.984575868,0.91738683,1
10847,0.988719285,0.996544898,0.979501307,0.000592584,0.996470928,0.940371752,0.997175097,0.977910817,0.997645438,0.998644292,0.997990608,0.999436677,0.92132175,0.990521431,0.982049882,0.96779412,1
10850,0.999994874,0.955585361,0.740199208,0.000101132,0.423692584,0.956046999,0.999076724,0.995841324,0.999231935,1,0.984670162,0.184540346,0.999994874,0.698642313,0.952463746,0.888796866,1
10851,0.995914876,0.992951334,0.963689446,8.86E-05,0.998221576,0.993882298,0.999119341,0.97943145,0.996241093,0.99944061,0.997974694,0.999517441,0.974267185,0.973671257,0.986824811,0.942922294,1
10852,0.759871781,0.998071909,0.947192132,1.76E-08,0.999850273,0.824172914,0.996236384,0.99993515,0.999127686,1,0.999992609,0.999892592,0.999791324,0.880823493,0.999897122,0.914979815,0
10875,0.153051257,0.332865536,0.48874715,0.029118972,0.275278807,0.945567131,0.422589362,0.333111227,0.999780238,0.38097772,0.657669127,0.234563425,0.981514275,0.532000184,0.199788779,0.693441868,1
10883,0.153054237,0.021347141,0.825414121,0.000102074,0.977711022,0.168987855,0.136109203,0.207110435,0.206965968,1,0.156221196,0.383190006,0.212943718,0.699551702,0.200708702,0.54974407,1
10894,0.978718519,0.576166272,0.68217355,0.000387429,0.172694296,0.168968976,0.384024113,0.342597276,0.206961945,1,0.251264811,0.18453978,0.179463357,0.535736501,0.199837804,0.419137955,0
10895,0.153301433,0.034298368,0.469936639,0.005728954,0.437225342,0.204429731,0.883982182,0.260327578,0.213706776,0.999532223,0.156239703,0.184541136,0.225218087,0.356992722,0.294764161,0.386065483,1
10919,0.997158051,0.97714442,0.85578531,1.26E-05,0.891821504,0.998506486,0.99972719,0.958434522,0.999969959,1,0.999501109,0.991814137,0.999760211,0.97745651,0.999275982,0.916086018,1
10926,0.999958634,0.999952316,0.982345402,2.22E-06,0.99999547,0.990382135,0.99994719,0.999997735,1,1,1,1,0.999999046,0.986404896,0.999982595,0.963263154,1
10942,0.945747375,0.738615632,0.804332554,3.80E-07,0.994035482,0.999815762,0.241332322,0.994546056,0.999622822,0.999999523,0.999902248,0.99976474,0.996119857,0.850940645,0.999491453,0.925182343,1
10960,0.999909043,0.676780283,0.751163185,0.000225767,0.784235656,0.986450911,0.896839499,0.99322778,0.997660875,0.999917388,0.837751806,0.973193288,0.889145374,0.793679476,0.794080079,0.861379206,1
10969,0.999351203,0.953116834,0.900470912,4.28E-05,0.999968052,0.997130334,0.999006212,0.992454529,0.999803126,0.999998569,0.999605954,0.999996662,0.999718487,0.940163732,0.997681856,0.937956989,1
10983,0.960359514,0.900115669,0.77799958,0.543160617,0.912313521,0.99233681,0.990471721,0.994234145,0.909619868,0.518205643,0.996029496,0.983293891,0.999467671,0.863981664,0.695058584,0.766507208,1
10988,0.999089837,0.990432858,0.953908682,0.000374481,0.996633947,0.987003505,0.999406815,0.997937202,0.996531963,0.99999392,0.999902844,0.900396824,0.997180939,0.932730317,0.992178023,0.90849781,1
10993,0.972364604,0.99508673,0.895047307,0.002339479,0.998220026,0.983732998,0.999907136,0.988949299,0.998333156,1,0.999983072,0.999211192,0.995653152,0.940483093,0.978261828,0.934432507,1
10999,0.999990702,0.999963045,0.994984388,0.001561838,0.999999404,0.996193171,1,0.999999881,1,1,1,1,0.999999881,0.997843862,1,0.998029172,1
11001,0.996666372,0.930259347,0.896229029,0.005572062,0.98202914,0.973082542,0.992451131,0.922510326,0.988156736,0.999866724,0.993460894,0.655166447,0.939167261,0.935971498,0.987330198,0.848915935,1
11005,0.998441637,0.36056143,0.467048198,2.89E-07,0.886081696,0.65993154,0.910807669,0.986752868,0.992622256,1,0.946048915,0.854103148,0.940805316,0.798552752,0.884287894,0.575597644,1
11007,0.860390425,0.642267466,0.677612245,2.77E-06,0.384371877,0.168993786,0.950983584,0.713094592,0.206961915,1,0.960823417,0.184538722,0.179457605,0.642615557,0.20020169,0.510074079,1
11010,0.978782117,0.89081794,0.895138204,4.96E-05,0.980739117,0.678252637,0.97361505,0.91485846,0.978114367,0.999999881,0.985281527,0.651144028,0.949949205,0.887241185,0.947721362,0.785277128,0
11017,0.153100356,0.174368709,0.482264817,1.51E-08,0.320825756,0.16893284,0.136115029,0.207113609,0.206408948,0.968745232,0.156325147,0.18454127,0.179439142,0.358208418,0.19978857,0.299654245,0
11020,0.89408654,0.929992616,0.592989028,1.92E-05,0.565184832,0.978066206,0.870735645,0.861958802,0.996852219,1,0.999369562,0.493410856,0.716970563,0.730999172,0.823405385,0.872864008,1
11022,0.91236037,0.984345376,0.801263332,0.003160305,0.957452178,0.999352038,0.85461092,0.996249616,0.999995947,1,0.99360764,0.999920845,0.999717414,0.883176684,0.999090075,0.866404116,1
11023,0.153137773,0.919817805,0.481023371,0.004821492,0.692823112,0.16888091,0.687052608,0.207112864,0.206023738,0.999985814,0.156349987,0.184541166,0.179454654,0.358253002,0.199785516,0.299801618,0
11025,0.936288774,0.209290087,0.681432009,0.101600461,0.62806052,0.832371473,0.819414139,0.888740778,0.701061308,0.961426437,0.998623133,0.294971526,0.861112535,0.700490177,0.697908521,0.727079809,0
11033,0.998282313,0.994771421,0.963771582,4.95E-06,0.998874724,0.249407038,0.997371316,0.997798502,0.901196778,0.999974251,0.999977946,0.999992013,0.999830961,0.974957705,0.998211384,0.877295077,1
11039,0.996383667,0.999066532,0.846058905,3.67E-06,0.989073217,0.998332322,0.999113619,0.983991444,0.98984611,0.946762681,0.999981403,0.99851805,0.999756873,0.929923177,0.979826808,0.772588909,1
11054,0.908984303,0.98435533,0.831045568,2.11E-06,0.997667074,0.873188615,0.998061478,0.99854064,0.999325871,0.999999881,0.999850392,0.969567299,0.998784363,0.901391208,0.90130955,0.823706388,0
11076,0.714024305,0.216292039,0.923695266,7.49E-07,0.780472994,0.430576861,0.239736095,0.959327579,0.861313283,1,0.196420044,0.297818542,0.179457754,0.765422344,0.199774742,0.544764102,1
11087,0.370054126,0.934260786,0.831752896,0.000109103,0.999735177,0.235375732,0.872006357,0.357725531,0.65657866,0.999993205,0.290831178,0.986735225,0.597130835,0.731478751,0.199789256,0.703246355,1
11090,0.999902129,0.438322693,0.721862316,5.43E-06,0.172693804,0.264593422,0.136110336,0.964119732,0.97558403,1,0.830089271,0.184539497,0.963613033,0.51222086,0.314797163,0.754912138,0
11097,0.153505817,0.002164512,0.485218823,3.39E-07,0.172689408,0.168916017,0.13611272,0.207109064,0.206255257,0.991795361,0.156292751,0.18454127,0.179444745,0.358258814,0.199787125,0.299653858,1
11104,0.681574166,0.156858057,0.540219188,0.486343741,0.209250137,0.168977425,0.181468681,0.207111031,0.636018991,0.282223433,0.156342268,0.184541136,0.179477334,0.370721996,0.199791566,0.758051157,1
11105,0.989756942,0.746832907,0.953158438,0.045973528,0.998809576,0.94829905,0.986521125,0.76044327,0.645228267,0.829416394,0.999110043,0.800814033,0.623673558,0.96233505,0.975396633,0.926039636,1
11107,0.999919295,0.995504558,0.975990236,0.128320277,0.999414206,0.999839187,0.999843955,0.999879837,0.999996901,0.99938345,0.999999762,1,0.999923468,0.98598367,0.999998927,0.965024769,1
11133,0.896470129,0.425556034,0.719565094,0.022543678,0.789398789,0.910545766,0.964479983,0.867257118,0.879586816,0.937367022,0.998092949,0.64064759,0.913889885,0.703216195,0.936605096,0.748080671,0
11150,0.671381712,0.191699997,0.472371131,9.73E-06,0.262163758,0.188440964,0.531519592,0.207112089,0.382816017,0.965922058,0.156222433,0.184541136,0.179478154,0.356796384,0.199791566,0.521185637,1
11158,0.999995947,0.932276726,0.928946376,0.003340566,0.966109157,0.997787595,0.996144176,0.999091744,0.999933839,0.990910113,0.999907851,0.999998569,0.999001682,0.894661725,0.999627948,0.916368961,0
11163,0.695430219,0.095262699,0.640795231,3.84E-09,0.993816555,0.169014975,0.13610895,0.259365886,0.207358092,1,0.26221323,0.192259222,0.179476321,0.590525985,0.924989522,0.365738928,1
11172,0.999999762,0.953077376,0.903972566,0.000606908,0.996732354,0.997971594,0.99526763,0.993185401,0.97680831,0.997747004,0.977889717,0.994895279,0.97914207,0.963643253,0.990007639,0.924343944,1
11195,0.999999881,0.998482883,0.929432631,0.080939226,0.998860478,0.992462099,0.999898672,0.999984026,0.999985695,0.999946713,0.999979019,0.999986053,0.999999642,0.972389162,0.996391475,0.99058634,1
11206,0.934905708,0.997781575,0.981027007,0.000100967,0.999956965,0.952586293,0.999923348,0.998932183,0.999996066,1,0.999787271,0.999489427,0.929151893,0.994509161,0.999718726,0.979253292,1
11222,0.998986542,0.992361665,0.925510108,3.83E-05,0.998404205,0.996711373,0.999891043,0.997782886,0.999516964,0.999999642,0.984692931,0.613566339,0.970642626,0.930481195,0.994054139,0.978593946,1
11254,0.99959439,0.999872327,0.983453214,1.24E-06,0.999982238,0.986369133,0.99997735,0.999986887,0.999993443,1,1,1,1,0.996415973,0.999999046,0.941391647,1
11256,0.999796689,0.836997986,0.897719026,0.001705158,0.970365524,0.963369668,0.965405941,0.978502512,0.996282876,0.996825218,0.904870868,0.685375452,0.756344914,0.873402834,0.872396052,0.657644987,1
11264,0.999991179,0.920669079,0.936070919,3.40E-05,0.553697526,0.832450271,0.989694715,0.998990476,0.999452293,0.975990236,0.99864012,0.999999523,0.996400356,0.906619668,0.999781907,0.95783186,0
11303,0.88058567,0.618412435,0.545442522,3.65E-06,0.932106316,0.744395614,0.136109561,0.207112536,0.317279577,0.999999881,0.156221271,0.850127101,0.272665024,0.80582273,0.199791253,0.405898243,1
11306,0.841353476,0.834790885,0.742324114,0.000111925,0.669941723,0.467066109,0.978350937,0.89168644,0.243547142,0.999998212,0.999737322,0.86824888,0.968761206,0.851455092,0.817257345,0.491814137,1
11316,0.998189509,0.996104956,0.948571026,3.65E-05,0.831099331,0.24728106,0.944399536,0.942340732,0.999515772,1,0.979908645,0.423695982,0.527536154,0.962889314,0.424208403,0.808514059,0
11326,0.962893307,0.902059436,0.820125937,0.003475719,0.99500221,0.989744008,0.199925572,0.344717354,0.618831336,0.9898718,0.484517753,0.932241857,0.548755169,0.863085449,0.248085126,0.761344969,1
11331,0.998129308,0.058265384,0.624970198,0.771441936,0.986239612,0.981501639,0.956440985,0.977553129,0.999855399,0.99900645,0.169085979,0.997256577,0.998538613,0.899841428,0.999598563,0.782703698,0
11333,0.999571621,0.99769336,0.932092011,0.000178887,0.999990344,0.996199787,0.999990821,0.999304414,0.99988687,0.999996543,0.997114182,0.999927163,0.999538302,0.971882761,0.995876908,0.960443676,0
11343,0.94307524,0.99719584,0.951066792,7.87E-10,0.999640465,0.997216702,0.998939335,0.998658299,0.999934673,1,0.95299989,0.797265589,0.991420627,0.960977852,0.998497963,0.982963085,1
11363,0.984195948,0.892480791,0.844333112,0.000578817,0.778430402,0.353135645,0.332024992,0.546110868,0.873614013,0.997305989,0.615316093,0.191517308,0.95751971,0.753924012,0.62024796,0.650363028,1
11364,0.908421278,0.998428345,0.96977669,2.78E-08,0.999979615,0.994830787,0.999987006,0.999607861,0.999879479,1,0.999999762,0.997697532,0.999235988,0.983564138,0.99878186,0.971663952,1
11365,0.75691843,0.98418498,0.914226234,1.17E-08,0.998860955,0.998961926,0.945796728,0.974109471,0.996088982,0.998582602,0.987189829,0.999967337,0.907570899,0.98449105,0.989169359,0.814153135,1
11371,0.999958515,0.957710445,0.802722096,8.05E-05,0.594879031,0.861489475,0.989775419,0.998976707,0.994726717,1,0.942271173,0.198578954,0.998916626,0.741941452,0.989221036,0.862142265,1
11375,0.987775564,0.861622274,0.890810668,1.68E-07,0.172682419,0.602797806,0.988955438,0.6884951,0.995692194,1,0.252507776,0.184539109,0.179460004,0.757382333,0.199779645,0.614783227,1
11380,0.995224357,0.110393398,0.478471637,4.13E-05,0.182528526,0.168984562,0.362085521,0.30446431,0.748076499,0.930682361,0.156218588,0.184541136,0.179475114,0.357322186,0.330560267,0.716772139,1
11385,0.999987364,0.60672152,0.50657928,4.27E-06,0.719758093,0.293613821,0.999888539,0.998087943,0.99486059,0.999997854,0.999967098,0.973434746,0.994343042,0.70703423,0.548534513,0.716665745,1
11387,0.993170261,0.979746938,0.973643422,3.30E-06,0.999371469,0.816582382,0.980607629,0.999758184,0.999997258,0.999999881,0.999989629,0.999999881,0.96936506,0.990147769,0.998822391,0.958578408,1
11388,0.936035097,0.974857628,0.933459878,0.00704244,0.998487353,0.99808383,0.989070415,0.908890724,0.999901891,0.999682426,0.999797404,0.998997748,0.998954535,0.993229628,0.998761415,0.969098985,0
11398,0.286308378,0.658444524,0.884242952,0.013388163,0.999873877,0.47249949,0.136108473,0.54798305,0.881017089,0.986537337,0.675830185,0.642780185,0.684557796,0.93982929,0.736333787,0.765991509,1
11400,0.938621819,0.919422328,0.805627942,0.359237283,0.988598228,0.989345133,0.999931574,0.965185344,0.99853611,0.996198356,0.999122322,0.998899579,0.869337857,0.858926773,0.991779029,0.87655139,1
11412,0.917095065,0.998581648,0.860774815,7.46E-08,0.999725044,0.996439517,0.967035532,0.839045644,0.999934196,0.79820466,0.999991298,0.999907494,0.997914732,0.987770677,0.908046424,0.966671944,0
11416,0.999812424,0.473519504,0.481610775,0.002617773,0.96386236,0.940783381,0.810181201,0.330992997,0.991635084,0.999641061,0.950786233,0.337026656,0.783861041,0.45555222,0.952425897,0.844221115,1
11427,0.999997497,0.986443758,0.774501264,0.000930087,0.834305346,0.997133017,0.840772688,0.999881268,0.998706579,0.999999523,0.896526456,0.99919194,0.999101758,0.93068856,0.947032332,0.873540461,0
11430,0.969411016,0.987711132,0.943389058,0.019275274,0.987076938,0.74843359,0.676716208,0.893547297,0.943400741,0.999999642,0.886662543,0.989567339,0.999914289,0.977422774,0.799937904,0.902417302,0
11438,0.153053701,0.497592688,0.776316643,3.05E-05,0.991028607,0.943041205,0.848901451,0.737085938,0.43832922,0.986969113,0.430701643,0.796173334,0.474237233,0.665680885,0.99879837,0.416085124,0
11443,0.994747341,0.981474102,0.934602499,0.008775176,0.694195211,0.926236153,0.921092629,0.953841329,0.991520822,1,0.966273725,0.927975893,0.999931812,0.962323844,0.786140501,0.925047576,1
11445,0.964999199,0.983752728,0.857398689,0.00313736,0.999855876,0.168885484,0.998066962,0.963652551,0.999868631,0.992240548,0.970817745,0.487417847,0.267024845,0.957210362,0.807500839,0.75335288,1
11450,0.963952959,0.748073757,0.938622594,0.004846794,0.99500519,0.864250958,0.95819211,0.737456679,0.808344424,0.990073204,0.995071173,0.756869376,0.546430528,0.949898005,0.965905786,0.885968268,1
11457,0.153052211,0.275566846,0.642930567,0.039282084,0.995221794,0.168930858,0.136116117,0.20710817,0.20596917,0.837519288,0.155985013,0.210933462,0.241047993,0.84834975,0.19979009,0.461834282,1
11460,0.914181888,0.09610787,0.467324555,3.42E-06,0.508141816,0.3571603,0.244175762,0.863857925,0.680055499,0.999996781,0.976632953,0.184541136,0.895542085,0.64092046,0.711751997,0.411973566,1
11479,0.999427319,0.996650279,0.821131647,0.000741573,0.993134141,0.977338433,0.999831438,0.833688855,0.999950171,0.999999166,0.999826491,0.999697328,0.983228445,0.938670278,0.999679685,0.783880234,1
